,Mean Cyclomatic Complexity,Mean Maintainability Index,Mean Parameter Count,Sum Files,Sum Functions,Sum Halstead Bugs,Sum Halstead Difficulty,Sum Halstead Effort,Sum Halstead Time,Sum Halstead Volume,Sum Logical SLOC,Sum Physical SLOC
backbone_marionette,218.1818181818182,120.85397992952106,0.9669969998016948,11,1257,181.9979755745054,891.310154159888,122835257.89503743,6824180.994168746,545993.9267235162,8494,16797
jquery,427.2,107.05486250168505,1.264670809067094,5,871,171.22458463642795,716.9837982677541,123748553.85795327,6874919.658775182,513673.7539092839,8101,13367
rappidjs,234.6,124.79280575058274,0.9981379155435759,5,894,126.88084637490685,437.7531763878159,133658633.12173232,7425479.617874017,380642.53912472056,4773,418
canjs,327.57142857142856,122.15726666172421,1.0889220239998285,7,1094,181.47212680853806,613.7445657487721,135408335.1955382,7522685.2886410095,544416.3804256142,8164,16154
thorax,189.35714285714286,118.44346429888186,0.7294315697120516,14,1301,212.80084732441082,1123.4294613431994,140911699.2270798,7828427.734837766,638402.5419732325,10189,16993
durandal,128.91304347826087,119.5608270534569,1.28887094901541,23,1539,226.44888157009416,1721.658028970241,155455265.77062267,8636403.65392348,679346.6447102824,10596,14723
componentjs,190.52631578947367,115.83677306163754,0.9471601102249217,19,1637,297.2633233026588,1543.0859192526414,197557276.11231574,10975404.228461985,891789.9699079766,14337,28091
polymer,264.14285714285717,132.42487107483367,0.6961857881319137,7,1750,224.46879082717606,799.9864697369304,200271570.2982469,11126198.349902602,673406.3724815283,8229,238
lavaca_require,105.6969696969697,124.52682465556488,1.3438264921338996,33,1885,276.24367915961255,1445.1628652682168,213328472.45113167,11851581.802840652,828731.0374788377,14562,30154
atmajs,320.25,119.6661592209075,1.0037730107549263,12,1842,281.3583956822283,1184.8982618766606,219528131.84930763,12196007.324961536,844075.187046685,15117,28664
node_modules,13.896103896103897,135.89209485435012,0.7849607117009137,77,1700,417.06843397031275,1947.7946555016456,220697929.0907051,12260996.060594728,1251205.3019109378,31519,33856
mozart,429.8333333333333,113.25920808609561,1.1622222523346044,6,1624,269.76282030950904,1211.3555627769024,224795750.4607111,12488652.803372838,809288.460928527,10756,12461
react,528.3333333333334,112.23153566523168,1.2887921340668835,6,1641,349.09040635848186,681.6545533483518,228443396.9315796,12691299.829532199,1047271.2190754453,16758,34715
knockback,282.6,123.54963366428206,1.0175840510493634,10,1434,237.3317600550631,900.3701124661287,230293756.79164845,12794097.599536022,711995.2801651892,9888,9579
batman,596.3333333333334,117.96391202284777,1.0479328048849739,3,1850,240.2095016281487,438.2323518127758,261250337.49987867,14513907.638882149,720628.504884446,11225,13650
react-backbone,522.6666666666666,113.99811154636465,1.113174197797075,9,2281,441.3111315228015,1164.510308618215,301937007.83647364,16774278.213137422,1323933.3945684044,21197,43981
dojo,247.6086956521739,124.22121959374721,1.177902692681117,23,3236,552.1043025832882,688.7094867177377,309703082.57300466,17205726.80961137,1656312.907749865,21936,1432
thorax_lumbar,235.8695652173913,121.6313216785183,0.8510688164072198,23,2705,473.68639169588175,1641.4253547144392,401105366.29899096,22283631.46105506,1421059.1750876447,20936,34865
enyo_backbone,123.96428571428571,134.66005699427123,0.47199419177181984,28,2481,418.4801014454155,966.5048236267313,435173139.75336224,24176285.541853447,1255440.3043362463,12923,13998
gwt,613.4285714285714,111.23008699393124,1.0219369371238496,7,5417,681.4161993364663,1252.116905585143,472132951.8487646,26229608.43604248,2044248.598009399,33141,3981
montage,458.6666666666667,120.55069664140643,0.8171386591748779,9,2869,502.2197005419438,700.0133382281106,500907971.964594,27828220.664699677,1506659.101625831,24947,43168
emberjs,356.7857142857143,121.26337833121939,0.7829994860253974,14,3638,616.0652326303465,1157.5585536488124,576826998.8001487,32045944.377786048,1848195.6978910393,27639,70691
vanilladart,675.0,108.76435544564497,0.8090871021775543,5,1623,845.5164912760547,423.79653049398814,841442038.0806258,46746779.893368095,2536549.473828164,24821,16431
kendo,835.1,113.18477555857298,1.1230851398317951,10,4391,992.052934999621,1443.3884839262428,1062031972.8594806,59001776.26997115,2976158.8049988626,40172,51540
extjs_deftjs,1033.4615384615386,122.98617882924933,0.8180744113379235,13,6658,1725.40894287444,1059.9918040318685,2733410408.1048856,151856133.78360477,5176226.82862332,68436,3122
angular-dart,2085.3333333333335,106.82819147200081,0.8461402344614024,3,22621,4212.308581402755,277.3842927286928,2874609969.147967,159700553.84155372,12636925.744208267,125963,68646
